,date,variable,generation_twh
China,01/03/2017,Wind and solar,34.62
China,01/04/2017,Bioenergy,5.77
China,01/04/2017,Clean,136.7
China,01/04/2017,Coal,331.95
China,01/04/2017,Fossil,346.95
China,01/04/2017,Gas,13.31
China,01/04/2017,Hydro,72.05
China,01/04/2017,Nuclear,20.26
China,01/04/2017,Other Fossil,1.69
China,01/04/2017,Solar,9.17
China,01/04/2017,Wind,29.45
China,01/04/2017,Wind and solar,38.62
China,01/05/2017,Bioenergy,5.82
China,01/05/2017,Clean,152.35
China,01/05/2017,Coal,334.6
China,01/05/2017,Fossil,349.71
China,01/05/2017,Gas,13.41
China,01/05/2017,Hydro,86.41
China,01/05/2017,Nuclear,20.49
China,01/05/2017,Other Fossil,1.7
China,01/05/2017,Solar,10.36
China,01/05/2017,Wind,29.27
China,01/05/2017,Wind and solar,39.63
China,01/06/2017,Bioenergy,6.07
China,01/06/2017,Clean,161.2
China,01/06/2017,Coal,348.86
China,01/06/2017,Fossil,364.62
China,01/06/2017,Gas,13.98
China,01/06/2017,Hydro,102.71
China,01/06/2017,Nuclear,19.9
China,01/06/2017,Other Fossil,1.78
China,01/06/2017,Solar,10.21
China,01/06/2017,Wind,22.31
China,01/06/2017,Wind and solar,32.52
China,01/07/2017,Bioenergy,7.12
China,01/07/2017,Clean,183.23
China,01/07/2017,Coal,409.19
China,01/07/2017,Fossil,427.67
China,01/07/2017,Gas,16.4
China,01/07/2017,Hydro,121.82
China,01/07/2017,Nuclear,23.08
China,01/07/2017,Other Fossil,2.08
China,01/07/2017,Solar,11.02
China,01/07/2017,Wind,20.19
China,01/07/2017,Wind and solar,31.21
China,01/08/2017,Bioenergy,7.1
China,01/08/2017,Clean,175.01
China,01/08/2017,Coal,408.56
China,01/08/2017,Fossil,427.02
China,01/08/2017,Gas,16.38
China,01/08/2017,Hydro,114.02
China,01/08/2017,Nuclear,23.02
China,01/08/2017,Other Fossil,2.08
China,01/08/2017,Solar,10.75
China,01/08/2017,Wind,20.12
China,01/08/2017,Wind and solar,30.87
China,01/09/2017,Bioenergy,5.98
China,01/09/2017,Clean,171.3
China,01/09/2017,Coal,343.71
China,01/09/2017,Fossil,359.24
China,01/09/2017,Gas,13.78
China,01/09/2017,Hydro,109.86
China,01/09/2017,Nuclear,21.95
China,01/09/2017,Other Fossil,1.75
China,01/09/2017,Solar,11.18
China,01/09/2017,Wind,22.33
China,01/09/2017,Wind and solar,33.51
China,01/10/2017,Bioenergy,5.77
China,01/10/2017,Clean,168.53
China,01/10/2017,Coal,331.62
China,01/10/2017,Fossil,346.6
China,01/10/2017,Gas,13.29
China,01/10/2017,Hydro,105.57
China,01/10/2017,Nuclear,20.13
China,01/10/2017,Other Fossil,1.69
China,01/10/2017,Solar,10.94
China,01/10/2017,Wind,26.12
China,01/10/2017,Wind and solar,37.06
China,01/11/2017,Bioenergy,6.38
China,01/11/2017,Clean,158.86
